Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,6679,0,2,5.278440550408466,1.0178689990425482,1079.284406001534,33.0,21.55724337432279,0.0,2,3,4,5,14,17,22,25,82,1100,1100
GET,/api/audio/levels,6679,0,3,19.31018558333211,1.0466029998497106,1065.4159699988668,75.4291061536158,21.55724337432279,0.0,3,6,9,12,16,22,46,920,1000,1100,1100
GET,/api/audio/levels (during plugin swap),1699,0,3,27.551014949326767,1.052685001923237,1080.6950939986564,75.24190700412007,5.483718594546253,0.0,3,6,9,11,17,24,880,1000,1100,1100,1100
GET,/api/audio/levels/plugins,1699,0,2,4.789776648657794,1.0223909994238056,1062.972121002531,19.394349617422012,5.483718594546253,0.0,2,2,3,4,9,15,20,23,1000,1100,1100
GET,/api/audio/status,5097,0,2,3.907536114018183,1.0277559995302,1074.091395999858,168.0,16.451155783638757,0.0,2,2,3,3,9,14,19,23,55,1100,1100
GET,/api/chains/,160,0,4,35.78325576258976,1.3513000012608245,1038.7257460024557,1448.1,0.5164184668201297,0.0,4,8,12,14,22,29,810,1000,1000,1000,1000
GET,/api/chains/{id},5097,0,3,23.20579496209697,1.204680997034302,1069.7619130005478,500.2591720619973,16.451155783638757,0.0,3,5,9,11,16,22,61,970,1100,1100,1100
POST,/api/chains/{id}/activate,5097,0,3,6.248839979015468,1.1701449984684587,1069.5832089986652,53.25073572689818,16.451155783638757,0.0,3,4,6,8,16,20,26,31,60,1100,1100
POST,/api/chains/{id}/deactivate,5097,0,2,4.278688872636724,1.162620999821229,1083.7654569986626,61.818520698450065,16.451155783638757,0.0,2,2,3,3,8,13,17,21,75,1100,1100
POST,/api/plugins/batch/parameters (500 updates),3151,0,6,23.835262341542965,2.806248998240335,1078.05026600181,881.759758806728,10.170216180938931,0.0,6,10,13,15,21,25,50,950,1100,1100,1100
GET,/api/plugins/discover,160,0,13,18.220616150142632,10.576317999948515,58.00965399976121,85406.0,0.5164184668201297,0.0,13,18,24,26,30,42,52,57,58,58,58
GET,/api/plugins/list,160,0,2,5.07641034982953,1.080333000572864,43.401594997703796,29.4,0.5164184668201297,0.0,2,3,5,7,16,20,22,29,43,43,43
POST,/api/plugins/load?uri,1699,0,3,5.489136282550355,1.2616650019481312,256.2621520009998,2215.8722778104766,5.483718594546253,0.0,3,3,4,6,15,19,24,27,240,260,260
POST,/api/plugins/unload?uri,1699,0,2,3.385530839865397,1.1658449984679464,64.64023000080488,108.13713949381989,5.483718594546253,0.0,2,2,3,3,8,13,18,23,44,65,65
,Aggregated,44173,0,2,11.56058493118555,1.0178689990425482,1083.7654569986626,577.4089828628348,142.57345584278494,0.0,2,4,6,8,15,19,26,46,1000,1100,1100
