Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1412,0,2,4.789292650197131,1.03914999999688,43.9141059978283,33.0,20.389899910118743,0.0,2,3,4,7,14,19,24,28,44,44,44
GET,/api/audio/levels,1412,0,3,25.825142452526123,1.0593750012048986,1133.0501900010859,75.34773371104816,20.389899910118743,0.0,3,7,10,12,18,23,54,1000,1100,1100,1100
GET,/api/audio/levels (during plugin swap),375,0,3,25.487516813348822,1.0707389992603566,1074.114582999755,75.496,5.415164636185926,0.0,3,8,10,12,17,23,54,1000,1100,1100,1100
GET,/api/audio/levels/plugins,375,0,2,3.9387634907034226,1.0726399996201508,46.287550998385996,19.304,5.415164636185926,0.0,2,3,3,6,12,14,17,19,46,46,46
GET,/api/audio/status,1113,0,2,5.090782589348332,1.0510859974601772,1072.68496100005,168.0,16.07220864019983,0.0,2,3,4,6,11,17,20,23,45,1100,1100
GET,/api/chains/,170,0,4,11.135364735374049,1.3594569973065518,255.47681899843155,1448.1588235294118,2.4548746350709534,0.0,4,8,10,11,18,20,140,250,260,260,260
GET,/api/chains/{id},1113,0,3,23.736687862469584,1.2329849996604025,1172.031183999934,502.2785265049416,16.07220864019983,0.0,3,7,10,12,18,22,43,1000,1100,1200,1200
POST,/api/chains/{id}/activate,1113,0,3,5.717479353100938,1.1986040008196142,57.52017899794737,53.26145552560647,16.07220864019983,0.0,3,4,6,8,13,19,27,44,50,58,58
POST,/api/chains/{id}/deactivate,1113,0,2,4.187688486116912,1.1958859977312386,61.50592299673008,61.64061096136568,16.07220864019983,0.0,2,3,3,5,12,17,21,23,51,62,62
POST,/api/plugins/batch/parameters (500 updates),559,0,8,17.439792796074485,2.7563040021050256,1066.1935080024705,896.9212880143112,8.072205417674487,0.0,8,13,15,17,23,26,33,70,1100,1100,1100
GET,/api/plugins/discover,170,0,13,16.397530958826845,10.718469999119407,39.30354600015562,85406.00588235294,2.4548746350709534,0.0,13,16,21,23,28,29,33,36,39,39,39
GET,/api/plugins/list,170,0,2,5.372174229384708,1.0892640020756517,48.80879300253582,28.076470588235296,2.4548746350709534,0.0,2,4,4,7,14,20,27,47,49,49,49
POST,/api/plugins/load?uri,375,0,3,4.898991205409402,1.3322650011104997,48.9171900007932,2169.7626666666665,5.415164636185926,0.0,3,3,5,7,13,17,24,29,49,49,49
POST,/api/plugins/unload?uri,375,0,2,3.9857251866778824,1.1793590019806288,24.45568500115769,107.66666666666667,5.415164636185926,0.0,2,3,3,5,12,15,18,21,24,24,24
,Aggregated,9845,0,3,11.787337593096552,1.03914999999688,1172.031183999934,1745.8444895886237,142.16612224866785,0.0,3,4,8,10,15,20,28,44,1100,1200,1200
