Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1073,0,7,26.662421674130854,1.500024925917387,1260.1522660115734,33.0,15.384524111955628,0.0,7,16,20,23,70,160,170,190,1200,1300,1300
GET,/api/audio/levels,1073,0,9,59.22662127445793,1.532612950541079,1281.6820890875533,76.98602050326188,15.384524111955628,0.0,9,18,45,81,160,200,370,1200,1300,1300,1300
GET,/api/audio/levels (during plugin swap),261,0,11,59.20469352281456,1.5607010573148727,1226.3988779159263,76.18773946360153,3.7421815407459635,0.0,11,23,77,110,170,200,220,1100,1200,1200,1200
GET,/api/audio/levels/plugins,261,0,5,12.405052176280611,1.493237097747624,233.9244249742478,21.521072796934867,3.7421815407459635,0.0,5,10,14,17,22,39,99,120,230,230,230
GET,/api/audio/status,789,0,6,17.281454924968543,1.5334610361605883,1262.4198999255896,303.01647655259825,11.31257178409412,0.0,6,11,16,18,25,100,140,160,1300,1300,1300
GET,/api/chains/,65,0,17,42.34614424013461,2.2529170382767916,178.28049999661744,1478.3384615384616,0.931960920109148,0.0,17,30,73,83,140,150,160,180,180,180,180
GET,/api/chains/{id},792,0,12,65.87976331171707,1.9175360212102532,1329.2198890121654,809.0378787878788,11.355585365022234,0.0,12,23,62,100,150,190,1100,1200,1300,1300,1300
POST,/api/chains/{id}/activate,789,1,11,32.64616116546732,1.8333480693399906,1292.632543016225,55.19645120405577,11.31257178409412,0.014337860309371507,11,19,24,30,140,170,180,200,1300,1300,1300
POST,/api/chains/{id}/deactivate,789,0,5,16.552863644934124,1.8180720508098602,1274.9423109926283,60.954372623574145,11.31257178409412,0.0,5,10,12,15,20,37,110,150,1300,1300,1300
POST,/api/plugins/batch/parameters (500 updates),474,0,20,75.96161853662547,5.41210500523448,1300.7585119921714,869.5696202531645,6.796145786642095,0.0,20,29,65,98,180,230,1100,1200,1300,1300,1300
GET,/api/plugins/discover,65,0,36,51.56989362843048,13.127380050718784,164.71023298799992,89708.01538461538,0.931960920109148,0.0,36,48,55,61,160,160,160,160,160,160,160
GET,/api/plugins/list,65,0,12,36.562288565059696,1.6053549479693174,228.10662002302706,69.44615384615385,0.931960920109148,0.0,12,20,22,35,160,220,230,230,230,230,230
POST,/api/plugins/load?uri,261,0,10,26.0366408673554,1.856948947533965,187.77083104941994,2448.2107279693487,3.7421815407459635,0.0,10,18,22,24,86,160,170,180,190,190,190
POST,/api/plugins/unload?uri,261,0,4,20.888905601586675,1.7648260109126568,1265.0394089287147,127.38314176245211,3.7421815407459635,0.0,4,9,12,14,18,25,120,170,1300,1300,1300
,Aggregated,7018,1,9,38.78789167830242,1.493237097747624,1329.2198890121654,1158.596608720433,100.62310365116925,0.014337860309371507,9,16,22,28,120,160,210,340,1300,1300,1300
