Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1098,0,6,26.042620593110247,1.3680720003321767,1258.0146469408646,33.02367941712204,15.968181482671875,0.0,6,14,19,22,130,150,160,170,210,1300,1300
GET,/api/audio/levels,1098,0,9,57.17610081090322,1.4257619623094797,1324.4873579824343,76.70582877959927,15.968181482671875,0.0,9,18,49,73,120,170,1100,1200,1300,1300,1300
GET,/api/audio/levels (during plugin swap),277,0,8,48.94752747972667,1.4455040218308568,1265.6072209356353,76.75451263537906,4.028402796630337,0.0,8,17,41,69,110,160,280,1100,1300,1300,1300
GET,/api/audio/levels/plugins,277,0,4,11.916500444789602,1.3929210836067796,352.38280601333827,20.382671480144403,4.028402796630337,0.0,4,10,14,17,20,29,100,150,350,350,350
GET,/api/audio/status,759,0,5,13.373595715331083,1.4126570895314217,201.4577619265765,303.034255599473,11.038114522174821,0.0,5,10,14,16,21,32,120,150,200,200,200
GET,/api/chains/,32,0,16,122.26778624608414,2.051791991107166,836.422679014504,1478.15625,0.465375052318306,0.0,24,140,140,150,310,820,840,840,840,840,840
GET,/api/chains/{id},759,0,9,54.273083540383965,1.8078569555655122,1328.8324130699039,800.361001317523,11.038114522174821,0.0,9,20,53,78,130,170,320,1100,1300,1300,1300
POST,/api/chains/{id}/activate,759,0,8,32.29412265788832,1.7032159958034754,1369.636674062349,54.1699604743083,11.038114522174821,0.0,8,17,22,26,140,150,160,190,1400,1400,1400
POST,/api/chains/{id}/deactivate,759,0,5,10.494825581140198,1.6854360001161695,416.31201503332704,61.01185770750988,11.038114522174821,0.0,5,9,12,14,19,24,37,120,420,420,420
POST,/api/plugins/batch/parameters (500 updates),547,0,17,77.62043616628884,4.205934936180711,1379.4802699703723,931.4625228519195,7.955004800566043,0.0,17,30,72,100,190,240,1200,1300,1400,1400,1400
GET,/api/plugins/discover,32,0,25,37.04265419219155,17.093515023589134,199.70884604845196,89708.0,0.465375052318306,0.0,26,30,38,39,41,150,200,200,200,200,200
GET,/api/plugins/list,32,0,14,31.071493183844723,1.48758792784065,182.4330739909783,92.59375,0.465375052318306,0.0,16,20,24,31,110,170,180,180,180,180,180
POST,/api/plugins/load?uri,277,0,6,33.4797764322233,1.769733033142984,1264.886795077473,2330.5126353790615,4.028402796630337,0.0,6,16,20,22,110,150,180,350,1300,1300,1300
POST,/api/plugins/unload?uri,277,0,4,10.956934285064358,1.6401720931753516,148.14677694812417,127.17328519855596,4.028402796630337,0.0,4,8,11,14,19,23,110,150,150,150,150
,Aggregated,6983,0,7,36.21848810436269,1.3680720003321767,1379.4802699703723,742.3025920091651,101.55356219808534,0.0,7,15,20,25,100,150,190,360,1300,1400,1400
