Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1115,0,6,23.927495235289058,1.3867660891264677,346.5291369939223,33.05829596412556,16.111947031104073,0.0,6,15,19,22,110,140,150,170,340,350,350
GET,/api/audio/levels,1115,0,9,55.9275946522449,1.4190709916874766,1334.9428249057382,76.88251121076233,16.111947031104073,0.0,9,19,57,77,110,150,240,1300,1300,1300,1300
GET,/api/audio/levels (during plugin swap),279,0,8,68.03395584856551,1.4426460256800056,1315.2507670456544,76.9605734767025,4.0315993019533956,0.0,8,20,46,66,120,150,1200,1300,1300,1300,1300
GET,/api/audio/levels/plugins,279,0,5,22.663780200999483,1.4198259450495243,1225.283946027048,20.989247311827956,4.0315993019533956,0.0,5,11,14,16,22,64,170,230,1200,1200,1200
GET,/api/audio/status,820,0,4,16.643222169269148,1.399932079948485,1339.4664319930598,303.0317073170732,11.84914490179851,0.0,4,9,13,15,20,29,140,170,1300,1300,1300
GET,/api/chains/,85,0,17,63.76329955151852,1.8956511048600078,1200.169313000515,1478.2470588235294,1.2282650203083822,0.0,17,55,99,120,140,160,310,1200,1200,1200,1200
GET,/api/chains/{id},822,0,9,47.245911165755786,1.7729980172589421,1336.1633339663967,808.7652068126521,11.878045255217533,0.0,10,19,34,58,110,140,210,1200,1300,1300,1300
POST,/api/chains/{id}/activate,822,1,8,22.6325053202471,1.686221919953823,274.43200000561774,55.298053527980535,11.878045255217533,0.01445017670951038,8,15,20,25,45,130,150,170,270,270,270
POST,/api/chains/{id}/deactivate,820,0,4,13.682692228083885,1.6800729790702462,1379.7499550273642,61.26829268292683,11.84914490179851,0.0,4,8,11,13,19,30,140,150,1400,1400,1400
POST,/api/plugins/batch/parameters (500 updates),483,0,13,58.841201382511784,4.101600963622332,1341.2157580023631,858.2111801242236,6.979435350693513,0.0,13,24,38,63,130,200,370,1300,1300,1300,1300
GET,/api/plugins/discover,85,0,32,67.7462255143944,12.902443995699286,1153.4276839811355,89708.0,1.2282650203083822,0.0,32,41,48,54,80,160,1200,1200,1200,1200,1200
GET,/api/plugins/list,85,0,8,27.422117306303015,1.4248379739001393,155.8851469308138,65.04705882352941,1.2282650203083822,0.0,8,15,17,24,130,140,150,160,160,160,160
POST,/api/plugins/load?uri,279,0,7,25.255605855482667,1.8341020913794637,156.07594803441316,2548.3333333333335,4.0315993019533956,0.0,7,17,21,24,120,140,150,150,160,160,160
POST,/api/plugins/unload?uri,278,0,5,13.036030160410585,1.7038059886544943,176.6710460651666,128.04676258992805,4.017149125243885,0.0,5,9,13,15,20,34,150,170,180,180,180
,Aggregated,7367,1,7,33.83334084802745,1.3867660891264677,1379.7499550273642,1367.769241210805,106.45445181896297,0.01445017670951038,7,14,20,25,91,140,170,260,1300,1400,1400
