Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1482,0,2,5.145465267172357,1.0202589983236976,1092.7355129970238,33.0,21.37957751210319,0.0,2,3,4,5,13,19,22,26,38,1100,1100
GET,/api/audio/levels,1482,0,3,18.820038223180973,1.0551500017754734,1055.975776995183,75.44736842105263,21.37957751210319,0.0,3,7,10,12,18,24,56,930,1000,1100,1100
GET,/api/audio/levels (during plugin swap),317,0,3,19.586967309283743,1.0571210004854947,1060.9401629990316,75.70662460567823,4.573094515072005,0.0,3,8,12,14,19,21,41,950,1100,1100,1100
GET,/api/audio/levels/plugins,317,0,2,4.008788296355894,1.059089001500979,37.79740300524281,19.98738170347003,4.573094515072005,0.0,2,3,3,4,12,15,20,22,38,38,38
GET,/api/audio/status,1102,0,2,3.9887490788260864,1.0398300000815652,29.96039499703329,168.0,15.897634560281858,0.0,2,3,4,5,11,16,20,22,28,30,30
GET,/api/chains/,186,0,4,20.660554468141985,1.3459699985105544,960.6956590068876,1448.1075268817203,2.6832668132599142,0.0,4,8,12,14,19,25,280,950,960,960,960
GET,/api/chains/{id},1102,0,3,27.70927555159567,1.2293249965296127,1052.390552998986,496.6070780399274,15.897634560281858,0.0,3,8,10,12,19,25,870,1000,1000,1100,1100
POST,/api/chains/{id}/activate,1102,0,3,6.06705747452885,1.176423000288196,56.4939370015054,53.12613430127042,15.897634560281858,0.0,3,5,7,9,16,21,31,38,55,56,56
POST,/api/chains/{id}/deactivate,1102,0,2,3.7938821015251163,1.1812470038421452,27.452117996290326,61.70508166969147,15.897634560281858,0.0,2,2,3,4,10,15,21,22,26,27,27
POST,/api/plugins/batch/parameters (500 updates),543,0,6,31.99857286392022,2.7400950057199225,1069.1307589950156,913.4198895027624,7.833407954839427,0.0,6,10,14,16,21,26,960,1000,1100,1100,1100
GET,/api/plugins/discover,186,0,12,17.18231682283541,10.658480998245068,42.58801699324977,85232.36021505376,2.6832668132599142,0.0,12,17,22,25,30,35,39,40,43,43,43
GET,/api/plugins/list,186,0,2,4.685694967823413,1.0760000004665926,28.04766799818026,27.811827956989248,2.6832668132599142,0.0,2,3,4,4,15,21,24,26,28,28,28
POST,/api/plugins/load?uri,317,0,3,5.346893416491795,1.2678080020123161,30.610557994805276,2301.082018927445,4.573094515072005,0.0,3,4,5,8,16,20,23,26,31,31,31
POST,/api/plugins/unload?uri,317,0,2,4.259203422866205,1.1775820021284744,22.7618610006175,108.23343848580441,4.573094515072005,0.0,2,3,4,7,12,17,21,22,23,23,23
,Aggregated,9741,0,3,12.023958560984473,1.0202589983236976,1092.7355129970238,1892.770249461041,140.525279720241,0.0,3,4,8,10,16,21,29,45,1000,1100,1100
