Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,18,5,2,2225.8523090555777,1.0738040000433102,8002.052538000498,23.833333333333332,0.2990174121213749,0.08306039225593748,2,14,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels,20,7,8,2808.411721450102,1.174720999188139,8006.351220999932,47.45,0.3322415690237499,0.11628454915831246,12,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels (during plugin swap),4,1,2,2004.956778250289,1.366567001241492,8002.0024869991175,54.75,0.06644831380474997,0.016612078451187492,15,15,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels/plugins,3,1,5,2670.156170333333,1.3811280005029403,8003.911853000318,9.333333333333334,0.049836235353562484,0.016612078451187492,5,5,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/status,25,7,3,2242.833074559967,1.1254260007262928,8005.632600999888,120.96,0.4153019612796873,0.11628454915831246,3,9,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/chains/,22,10,120.0,3659.75800968152,5.845731999215786,8003.021938000529,791.4545454545455,0.36546572592612486,0.16612078451187495,150,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/chains/{id},26,8,15,2489.2867702693857,3.386734999367036,8001.844431000791,339.84615384615387,0.43191403973087483,0.13289662760949994,18,310,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/chains/{id}/activate,26,8,12,2469.9576274228652,3.403032000278472,8004.575257999022,24.23076923076923,0.43191403973087483,0.13289662760949994,12,68,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/chains/{id}/deactivate,22,4,6,1476.2475985908168,2.7932529992540367,8005.988139000692,30.272727272727273,0.36546572592612486,0.06644831380474997,7,16,21,340,8000,8000,8000,8000,8000,8000,8000
GET,/api/plugins/discover,20,8,32,3216.609930249888,10.63909599906765,8006.530279999424,51243.65,0.3322415690237499,0.13289662760949994,37,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/plugins/list,21,9,23,3436.2412799049966,1.2112300009903265,8003.684013001475,13.142857142857142,0.34885364747493736,0.14950870606068745,23,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/plugins/load?uri,3,1,3,2668.6939023329614,1.934103998792125,8001.097415000913,2890.0,0.049836235353562484,0.016612078451187492,3,3,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/plugins/unload?uri,3,1,2,2669.6391220005657,1.8104380014847266,8005.262001999654,57.0,0.049836235353562484,0.016612078451187492,2,2,8000,8000,8000,8000,8000,8000,8000,8000,8000
,Aggregated,213,70,15,2642.1382195211095,1.0738040000433102,8006.530279999424,5005.553990610329,3.5383727101029363,1.1628454915831246,15,190,8000,8000,8000,8000,8000,8000,8000,8000,8000
