Method,Name,Error,Occurrences
POST,/api/chains/{id}/activate,HTTPError('500 Server Error: Internal Server Error for url: /api/chains/{id}/activate'),8
POST,/api/chains/{id}/deactivate,HTTPError('500 Server Error: Internal Server Error for url: /api/chains/{id}/deactivate'),2
POST,/api/plugins/unload?uri,HTTPError('404 Client Error: Not Found for url: /api/plugins/unload?uri'),1
GET,/api/audio/status,"ConnectionResetError(104, 'Connection reset by peer')",1
