Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1113,0,2,15.62157812221676,1.0525990001042373,407.57018699878245,33.0,17.395799501980225,0.0,2,4,8,12,20,79,120,350,410,410,410
GET,/api/audio/levels,1113,0,3,34.752199316269845,1.0681120002118405,1141.3557899995794,73.0,17.395799501980225,0.0,3,9,14,17,66,220,300,930,1100,1100,1100
GET,/api/audio/levels (during plugin swap),272,0,4,55.01931852209991,1.102121999792871,1210.7310650008003,73.0,4.251264568318617,0.0,4,10,15,19,68,230,1100,1100,1200,1200,1200
GET,/api/audio/levels/plugins,272,0,2,11.151801459531645,1.0396130001026904,363.88631599947985,14.0,4.251264568318617,0.0,2,3,5,7,15,22,88,330,360,360,360
GET,/api/audio/status,790,0,3,15.198509035416222,1.1067079994973028,1227.8293279996433,168.0,12.347422827101866,0.0,3,6,9,10,18,25,110,360,1200,1200,1200
GET,/api/chains/,83,0,12,67.5062893737137,1.3366960010898765,1148.0556390015408,1450.698795180723,1.2972608793031073,0.0,12,18,23,30,160,340,1100,1100,1100,1100,1100
GET,/api/chains/{id},791,0,11,54.10884456386549,3.287625000666594,1160.5630699996254,489.35524652338813,12.363052476250095,0.0,11,16,21,26,88,290,880,1100,1200,1200,1200
POST,/api/chains/{id}/activate,790,0,10,28.691963408882543,3.3477350007160567,705.5050750004739,35.0,12.347422827101866,0.0,10,16,20,22,37,95,370,400,710,710,710
POST,/api/chains/{id}/deactivate,790,0,7,24.85954327339296,2.678216000276734,474.35873200083734,37.0,12.347422827101866,0.0,7,10,14,16,27,78,340,360,470,470,470
POST,/api/plugins/batch/parameters (500 updates),460,0,8,45.969693137011866,3.138984999168315,1158.6737580000772,821.8739130434783,7.189638608185897,0.0,8,15,19,24,89,220,370,1000,1200,1200,1200
GET,/api/plugins/discover,83,0,21,22.380865831449675,10.899004999373574,55.92168499970285,85406.01204819277,1.2972608793031073,0.0,21,24,28,30,37,43,46,56,56,56,56
GET,/api/plugins/list,83,0,4,21.468006301254345,1.1368700015736977,1056.4119709997613,37.975903614457835,1.2972608793031073,0.0,4,10,14,14,18,28,76,1100,1100,1100,1100
POST,/api/plugins/load?uri,272,0,3,15.79033161025938,1.3779839991912013,388.8444120002532,2173.672794117647,4.251264568318617,0.0,3,4,8,15,23,82,110,380,390,390,390
POST,/api/plugins/unload?uri,272,1,2,15.043400672826625,1.1827629987237742,369.89493400142237,84.19485294117646,4.251264568318617,0.01562964914823021,2,3,4,7,12,26,320,330,370,370,370
,Aggregated,7184,1,5,29.225011110814403,1.0396130001026904,1227.8293279996433,1242.035495545657,112.28339948088582,0.01562964914823021,5,10,15,17,35,110,330,390,1100,1200,1200
