Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1188,0,2,12.882689839210895,1.0553089996392373,1023.1327080000483,33.0,17.13204841074559,0.0,2,3,8,12,19,74,110,140,390,1000,1000
GET,/api/audio/levels,1194,0,3,44.83794217837691,1.049045999025111,1115.4482359997928,73.0,17.218573907769557,0.0,3,9,14,18,79,240,920,1000,1100,1100,1100
GET,/api/audio/levels (during plugin swap),307,0,3,39.57475524427747,1.0868329991353676,1082.1077399996284,73.0,4.42722126439301,0.0,3,8,13,17,54,220,320,1000,1100,1100,1100
GET,/api/audio/levels/plugins,307,0,2,16.99791218568696,1.051027998983045,1054.734745001042,14.0,4.42722126439301,0.0,2,3,6,8,17,40,310,340,1100,1100,1100
GET,/api/audio/status,916,1,2,13.212652987965264,1.089525998395402,1052.7784709993284,167.81659388646287,13.209559212325724,0.01442091617066127,2,3,6,8,14,21,300,340,1100,1100,1100
GET,/api/chains/,87,0,7,39.764941643614755,1.3870350012439303,942.5322099996265,1448.632183908046,1.2546197068475304,0.0,7,10,15,20,100,180,550,940,940,940,940
GET,/api/chains/{id},918,0,10,56.294200324648806,3.2983510009216843,1147.9391749999195,492.4041394335512,13.238401044667047,0.0,10,17,22,29,120,290,920,1000,1100,1100,1100
POST,/api/chains/{id}/activate,917,8,4,20.180831635801535,1.2167770000814926,1153.5179009988497,51.56270447110142,13.223980128496384,0.11536732936529016,4,8,12,15,27,77,140,360,1200,1200,1200
POST,/api/chains/{id}/deactivate,916,2,2,12.002007469421955,1.1875630007125437,723.2850799991866,61.06331877729258,13.209559212325724,0.02884183234132254,2,3,5,8,15,22,85,330,720,720,720
POST,/api/plugins/batch/parameters (500 updates),480,0,10,53.712689943749105,3.1664489997638157,1108.660713000063,842.1270833333333,6.92203976191741,0.0,10,16,21,26,140,260,870,1000,1100,1100,1100
GET,/api/plugins/discover,87,0,19,29.68488290797064,10.679237999283941,343.8494729998638,85406.01149425287,1.2546197068475304,0.0,19,24,28,31,43,55,320,340,340,340,340
GET,/api/plugins/list,87,0,2,27.877056930923697,1.115855999159976,1060.5368799988355,38.275862068965516,1.2546197068475304,0.0,2,3,8,12,18,84,350,1100,1100,1100,1100
POST,/api/plugins/load?uri,307,0,3,15.974739299652338,1.3474750012392178,391.42600299965125,2155.9771986970686,4.42722126439301,0.0,3,4,10,13,23,82,120,340,390,390,390
POST,/api/plugins/unload?uri,307,1,2,13.279298175948142,1.1943530007556546,398.77291599987075,82.59609120521172,4.42722126439301,0.01442091617066127,2,3,5,7,14,21,320,370,400,400,400
,Aggregated,8018,12,3,27.777499905833814,1.049045999025111,1153.5179009988497,1186.478672985782,115.62690585636206,0.17305099404793525,3,8,12,15,30,120,320,400,1100,1200,1200
