Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1222,0,2,15.62597444763833,1.0730680005508475,427.44885200045246,33.0,17.622779334252463,0.0,2,5,10,15,22,87,96,330,390,430,430
GET,/api/audio/levels,1222,0,4,51.11278203683576,1.0793959991133306,1129.9882690000231,73.0,17.622779334252463,0.0,4,9,14,18,86,260,980,1100,1100,1100,1100
GET,/api/audio/levels (during plugin swap),278,0,5,33.58642611508768,1.0523490000196034,1107.3010780000914,73.0,4.009110192244013,0.0,5,10,14,17,79,200,330,360,1100,1100,1100
GET,/api/audio/levels/plugins,278,0,2,12.575586179821538,1.058273001035559,392.1204489997763,14.0,4.009110192244013,0.0,2,3,5,8,15,25,300,340,390,390,390
GET,/api/audio/status,842,0,2,15.147138302876504,1.0738149994722335,392.9990449996694,168.0,12.142700654206688,0.0,2,4,8,9,17,29,320,340,390,390,390
GET,/api/chains/,97,0,9,46.09973871164275,1.353842999378685,793.9418140013004,1448.1546391752577,1.3988621893801054,0.0,9,15,19,27,120,270,790,790,790,790,790
GET,/api/chains/{id},842,3,7,47.356051568921494,1.2343230009719264,1121.7910409995966,495.8313539192399,12.142700654206688,0.04326377905299295,7,12,18,21,84,230,890,1100,1100,1100,1100
POST,/api/chains/{id}/activate,842,0,4,18.80301198809856,1.1904849998245481,819.7171080009866,51.55581947743468,12.142700654206688,0.0,4,8,12,14,24,76,310,350,820,820,820
POST,/api/chains/{id}/deactivate,842,0,2,20.204541634229567,1.1829730010504136,1128.0104999987088,60.865795724465556,12.142700654206688,0.0,2,4,6,8,17,44,310,350,1100,1100,1100
POST,/api/plugins/batch/parameters (500 updates),518,0,9,51.810501391867135,3.113345999736339,1128.3186820000992,883.6061776061777,7.47021251648345,0.0,9,15,21,24,91,260,910,1000,1100,1100,1100
GET,/api/plugins/discover,97,0,19,28.614056082530915,10.780487000374706,426.1422500003391,85406.01030927835,1.3988621893801054,0.0,19,26,28,33,43,63,150,430,430,430,430
GET,/api/plugins/list,97,0,3,19.4979591237403,1.0937420011032373,354.15023200039286,33.402061855670105,1.3988621893801054,0.0,3,4,8,10,55,79,350,350,350,350,350
POST,/api/plugins/load?uri,278,0,3,15.95268256473999,1.2730480011668988,432.6141489982547,2244.8920863309354,4.009110192244013,0.0,3,5,9,13,21,63,310,380,430,430,430
POST,/api/plugins/unload?uri,278,0,2,13.72204882377871,1.1812700013251742,432.69250499906775,83.39568345323741,4.009110192244013,0.0,2,3,4,6,13,23,310,350,430,430,430
,Aggregated,7733,3,3,28.97786124933391,1.0523490000196034,1129.9882690000231,1337.1769041769041,111.5196011389315,0.04326377905299295,3,8,12,15,35,110,330,430,1100,1100,1100
