Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1125,0,2,15.098280343983788,1.042145000610617,1134.2800909988,33.0,17.52696002297044,0.0,2,4,10,15,23,73,94,310,400,1100,1100
GET,/api/audio/levels,1126,0,4,47.39721420337058,1.0716299984778743,1110.5843269997422,73.0,17.542539542990855,0.0,4,10,15,20,100,260,890,1000,1100,1100,1100
GET,/api/audio/levels (during plugin swap),262,0,4,40.13053866800117,1.078078003047267,1111.3654219989257,73.0,4.08183424534956,0.0,4,8,12,15,39,190,920,1100,1100,1100,1100
GET,/api/audio/levels/plugins,261,0,2,13.341950521214454,1.0425750006106682,357.1596629990381,14.0,4.0662547253291415,0.0,2,3,4,7,16,28,310,310,360,360,360
GET,/api/audio/status,900,0,2,12.51787891782644,1.0820259994943626,401.7658049997408,168.0,14.02156801837635,0.0,2,3,5,8,16,27,290,320,400,400,400
GET,/api/chains/,99,0,6,36.75572266674311,1.3228709995019017,1066.6965340005845,1448.3636363636363,1.5423724820213984,0.0,6,9,13,16,59,150,940,1100,1100,1100,1100
GET,/api/chains/{id},901,0,4,43.30926539403948,1.2137289995735046,1092.7464759988652,499.9389567147614,14.037147538396768,0.0,4,9,14,18,60,190,970,1000,1100,1100,1100
POST,/api/chains/{id}/activate,900,0,4,16.751637245544973,1.1693349988490809,466.5031749991613,53.15777777777778,14.02156801837635,0.0,4,6,10,15,35,80,130,320,470,470,470
POST,/api/chains/{id}/deactivate,900,0,2,12.481336643367184,1.172676002170192,644.8560270000598,61.35777777777778,14.02156801837635,0.0,2,3,5,7,15,24,270,360,640,640,640
POST,/api/plugins/batch/parameters (500 updates),440,0,7,30.47018011581961,2.749344999756431,1076.0892420003074,819.3568181818182,6.854988808983993,0.0,7,12,16,18,37,110,250,960,1100,1100,1100
GET,/api/plugins/discover,99,0,20,55.06156779803418,10.769444999823463,1132.6068460002716,85079.76767676767,1.5423724820213984,0.0,20,24,33,36,52,310,1100,1100,1100,1100,1100
GET,/api/plugins/list,99,0,3,21.12604727273095,1.0986020006384933,317.94862400056445,31.09090909090909,1.5423724820213984,0.0,3,11,14,17,38,100,310,320,320,320,320
POST,/api/plugins/load?uri,262,0,3,12.727660980874676,1.359022000542609,320.8816279984603,2425.8320610687024,4.08183424534956,0.0,3,4,9,13,23,77,92,130,320,320,320
POST,/api/plugins/unload?uri,261,0,2,10.150590023074153,1.1852399984491058,358.1214440018812,84.62452107279694,4.0662547253291415,0.0,2,3,5,6,13,23,86,300,360,360,360
,Aggregated,7635,0,3,25.08459925384546,1.042145000610617,1134.2800909988,1366.6466273739359,118.94963535589271,0.0,3,6,11,14,29,86,300,360,1100,1100,1100
