Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1211,0,2,16.346027435170022,1.0151129972655326,481.00536499987356,33.042939719240294,17.46197793338828,0.0,2,4,8,11,24,81,140,350,430,480,480
GET,/api/audio/levels,1211,0,3,44.62897111640523,1.0631160002958495,1134.25346099757,76.43517753922379,17.46197793338828,0.0,3,8,12,17,71,260,390,1100,1100,1100,1100
GET,/api/audio/levels (during plugin swap),287,0,3,34.38921165161763,1.067830999090802,1083.2896290012286,75.94425087108014,4.13838783392439,0.0,3,8,12,15,33,190,390,970,1100,1100,1100
GET,/api/audio/levels/plugins,287,0,2,11.478971076705566,1.0452629976498429,464.41013300136547,20.29616724738676,4.13838783392439,0.0,2,3,5,6,15,23,82,350,460,460,460
GET,/api/audio/status,953,0,2,13.964519403993794,1.0315889994672034,479.0718289987126,168.01364113326338,13.741754723797714,0.0,2,3,6,8,15,22,340,350,480,480,480
GET,/api/chains/,69,0,3,45.311835318990646,1.3376110000535846,1048.8712939986726,1448.1159420289855,0.9949434165184075,0.0,3,8,12,17,78,160,890,1000,1000,1000,1000
GET,/api/chains/{id},953,0,4,38.893980873061196,1.2147920024290215,1111.6500659991289,502.4616998950682,13.741754723797714,0.0,4,9,12,17,66,270,360,960,1100,1100,1100
POST,/api/chains/{id}/activate,953,0,4,18.714033493198226,1.1828169990621973,481.5199959994061,53.249737670514165,13.741754723797714,0.0,4,6,10,13,26,80,330,360,480,480,480
POST,/api/chains/{id}/deactivate,953,0,2,13.023220478527854,1.1789170021074824,1127.4722630005272,61.2906610703043,13.741754723797714,0.0,2,3,4,6,13,19,310,370,1100,1100,1100
POST,/api/plugins/batch/parameters (500 updates),505,0,7,60.443854447571496,2.7197519993933383,1126.353294999717,870.4257425742575,7.281832251330373,0.0,7,12,17,21,94,310,1000,1100,1100,1100,1100
GET,/api/plugins/discover,69,0,14,26.213235072487883,10.92287899882649,317.85854999907315,84937.92753623189,0.9949434165184075,0.0,14,23,27,28,43,70,120,320,320,320,320
GET,/api/plugins/list,69,0,2,21.625240231725805,1.0970610019285232,326.49217799917096,35.88405797101449,0.9949434165184075,0.0,2,3,7,12,27,83,320,330,330,330,330
POST,/api/plugins/load?uri,287,0,3,10.071082999915081,1.3331570007721893,323.40858799943817,2065.5540069686413,4.13838783392439,0.0,3,4,7,9,22,47,84,110,320,320,320
POST,/api/plugins/unload?uri,287,0,2,18.388292651496425,1.1858549987664446,416.8338409981516,83.73170731707317,4.13838783392439,0.0,2,3,5,8,14,36,350,390,420,420,420
,Aggregated,8094,0,3,26.284161629485364,1.0151129972655326,1134.25346099757,979.4714603409933,116.71118859855058,0.0,3,6,9,12,25,95,340,410,1100,1100,1100
