Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1063,0,6,30.027243018067974,1.4844159595668316,1255.3403790807351,33.048918156161804,15.218574912533846,0.0,6,13,20,21,52,150,180,210,1200,1300,1300
GET,/api/audio/levels,1063,0,9,57.19096035232657,1.562951016239822,1303.7440769840032,77.07243650047036,15.218574912533846,0.0,9,18,48,85,150,180,260,1200,1300,1300,1300
GET,/api/audio/levels (during plugin swap),278,0,11,54.0952664232987,1.5664570964872837,1168.665161007084,77.62949640287769,3.980022413625973,0.0,11,23,55,84,140,190,230,1100,1200,1200,1200
GET,/api/audio/levels/plugins,278,0,7,15.406695921091268,1.5116749564185739,185.66059996373951,20.406474820143885,3.980022413625973,0.0,7,11,16,18,26,100,130,140,190,190,190
GET,/api/audio/status,810,0,6,15.841861065753081,1.54499604832381,1255.1859950181097,303.0641975308642,11.596468183586468,0.0,6,10,14,16,23,90,130,170,1300,1300,1300
GET,/api/chains/,38,0,14,110.45368132181466,2.1058329148218036,1138.814538018778,1478.2105263157894,0.5440318407114639,0.0,17,81,120,140,270,610,1100,1100,1100,1100,1100
GET,/api/chains/{id},815,0,11,69.14276098918192,1.9258959218859673,1272.108756005764,808.8907975460123,11.668051320522187,0.0,11,22,68,98,160,200,1100,1200,1300,1300,1300
POST,/api/chains/{id}/activate,813,0,10,27.783248632966437,1.8289610743522644,1220.0732530327514,54.464944649446494,11.639418065747899,0.0,10,18,22,25,46,150,170,230,1200,1200,1200
POST,/api/chains/{id}/deactivate,810,0,6,11.880650167658143,1.815662020817399,259.7760569769889,61.074074074074076,11.596468183586468,0.0,6,10,12,14,20,26,110,150,260,260,260
POST,/api/plugins/batch/parameters (500 updates),511,0,16,72.82486634416443,5.4575459798797965,1331.9628909230232,943.3072407045009,7.315796594830475,0.0,16,27,44,81,170,240,1100,1200,1300,1300,1300
GET,/api/plugins/discover,38,0,30,41.11979592064591,12.800152064301074,136.8569090263918,89708.0,0.5440318407114639,0.0,36,47,51,53,59,120,140,140,140,140,140
GET,/api/plugins/list,38,0,12,35.27372184295305,1.5819809632375836,207.0125739555806,81.21052631578948,0.5440318407114639,0.0,13,18,21,32,200,210,210,210,210,210,210
POST,/api/plugins/load?uri,278,0,8,29.623294293146795,1.9111719448119402,1210.5695590144023,2425.428057553957,3.980022413625973,0.0,8,16,20,23,81,150,190,210,1200,1200,1200
POST,/api/plugins/unload?uri,278,0,6,13.597242377544317,1.7495140200480819,210.17301501706243,127.70143884892086,3.980022413625973,0.0,6,10,12,14,22,30,150,190,210,210,210
,Aggregated,7111,0,9,37.93529329487889,1.4844159595668316,1331.9628909230232,816.0248910139221,101.80553734997947,0.0,9,15,20,25,110,160,210,450,1300,1300,1300
