Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1037,0,7,26.200597297504416,1.3799599837511778,200.3836630610749,33.01253616200579,14.943080561706237,0.0,7,16,21,24,130,150,160,170,190,200,200
GET,/api/audio/levels,1040,0,10,57.28322637867397,1.4003689866513014,1321.91212894395,76.8375,14.986310302964789,0.0,10,20,54,82,130,160,390,1200,1300,1300,1300
GET,/api/audio/levels (during plugin swap),236,0,7,63.62107530841998,1.4721129555255175,1258.7703199824318,77.1864406779661,3.400739645672779,0.0,7,17,58,87,140,170,1200,1200,1300,1300,1300
GET,/api/audio/levels/plugins,236,0,5,14.667992833291448,1.4155990211293101,156.62511496338993,21.10593220338983,3.400739645672779,0.0,5,11,16,18,25,100,120,140,160,160,160
GET,/api/audio/status,828,0,6,18.33657429251001,1.403260976076126,1264.4116119481623,303.09420289855075,11.931408587360428,0.0,6,11,15,18,25,100,150,160,1300,1300,1300
GET,/api/chains/,77,0,15,44.0775118072747,2.0455369958654046,332.8529270365834,1478.2857142857142,1.1095633589695084,0.0,15,27,71,95,140,160,190,330,330,330,330
GET,/api/chains/{id},829,0,11,68.1036949800597,1.8465600442141294,1319.770275033079,807.6574185765983,11.94581850111328,0.0,11,23,67,87,140,170,1100,1200,1300,1300,1300
POST,/api/chains/{id}/activate,828,0,10,30.990659973217436,1.7279409803450108,371.0889840731397,54.59541062801932,11.931408587360428,0.0,10,19,24,32,140,150,170,180,370,370,370
POST,/api/chains/{id}/deactivate,828,1,5,14.305769128006194,1.6957640182226896,669.6658920263872,61.71497584541063,11.931408587360428,0.014409913752850759,5,11,14,16,23,53,130,140,670,670,670
POST,/api/plugins/batch/parameters (500 updates),494,0,16,67.85766633867516,4.088900052011013,1257.4411228997633,877.4514170040486,7.118497393908275,0.0,17,26,53,86,170,200,1100,1200,1300,1300,1300
GET,/api/plugins/discover,77,0,30,36.05706299437428,12.932498008012772,180.94813800416887,89708.0,1.1095633589695084,0.0,30,36,43,43,54,75,150,180,180,180,180
GET,/api/plugins/list,77,0,9,18.829383190370514,1.5049680368974805,145.1887070434168,66.79220779220779,1.1095633589695084,0.0,9,17,20,21,28,120,130,150,150,150,150
POST,/api/plugins/load?uri,236,0,6,23.945812285400265,1.7867290880531073,196.31016696803272,2469.14406779661,3.400739645672779,0.0,6,16,20,22,96,150,160,160,200,200,200
POST,/api/plugins/unload?uri,236,0,6,15.207172834148663,1.6851280815899372,194.6178199723363,127.33050847457628,3.400739645672779,0.0,6,12,15,17,22,110,140,150,190,190,190
,Aggregated,7059,1,9,37.50515671995501,1.3799599837511778,1321.91212894395,1307.1076639750672,101.71958118137351,0.014409913752850759,9,17,22,29,110,150,180,280,1300,1300,1300
